date,forecast_var,fold,actual_var,target,log_forecast
2017-01-03,3.743853515498e-05,Fold1_2017,5.80823031976556e-05,-9.753649532626978,-10.192810032254371
2017-01-04,4.491205075073952e-05,Fold1_2017,3.518221746471543e-05,-10.254969788670985,-10.01080440834139
2017-01-05,4.618307022791397e-05,Fold1_2017,6.316253853864819e-07,-14.274969363183752,-9.982897272317308
2017-01-06,3.908914022108856e-05,Fold1_2017,1.2754658043141065e-05,-11.269614016362102,-10.149665873257055
2017-01-09,3.630376174055281e-05,Fold1_2017,1.0931632734675871e-05,-11.423849885900418,-10.223589192846275
2017-01-10,3.73965731791817e-05,Fold1_2017,0.0,,-10.193931483966814
2017-01-11,3.1294774715939365e-05,Fold1_2017,7.964006148940285e-06,-11.740578399670673,-10.372059416337299
2017-01-12,2.8974918784158134e-05,Fold1_2017,6.314686544569022e-06,-11.972632440041577,-10.449079971705006
2017-01-13,2.994574056122156e-05,Fold1_2017,5.25693212913637e-06,-12.155962946779761,-10.416123461839954
2017-01-17,2.694565344607011e-05,Fold1_2017,1.2460251208232585e-05,-11.292966883633836,-10.521688555766165
2017-01-18,3.046792841671764e-05,Fold1_2017,4.874374040602926e-06,-12.231518863686302,-10.398835954914361
2017-01-19,2.7161471089372193e-05,Fold1_2017,1.3776040375585367e-05,-11.192579679418984,-10.513711092919813
2017-01-20,3.100621954359362e-05,Fold1_2017,1.3450503713838887e-05,-11.21649400177465,-10.381322743164219
2017-01-23,3.036458020934832e-05,Fold1_2017,6.79033775033717e-06,-11.90000987531308,-10.402233753530048
2017-01-24,3.1125054227356456e-05,Fold1_2017,4.084788656595068e-05,-10.105655474448275,-10.377497460936535
2017-01-25,3.651401588232632e-05,Fold1_2017,7.427556952725e-05,-9.507728468826084,-10.217814374307657
2017-01-26,4.6811219064588724e-05,Fold1_2017,1.0939441297024488e-06,-13.725720925010409,-9.969387660167461
2017-01-27,3.99087695956174e-05,Fold1_2017,2.4679447436943564e-06,-12.912124841274546,-10.128914468854756
2017-01-30,3.612726173857369e-05,Fold1_2017,3.869966389662089e-05,-10.159679642808088,-10.22846280481128
2017-01-31,4.4413012902109424e-05,Fold1_2017,7.75793504335468e-09,-18.674549640823358,-10.021978048085796
2017-02-01,3.624888177442993e-05,Fold1_2017,1.5643497515992263e-07,-15.670625407493628,-10.22510202474132
2017-02-02,2.9619207190863738e-05,Fold1_2017,4.339473472678826e-07,-14.650342629865088,-10.427087515490138
2017-02-03,2.4387234062941086e-05,Fold1_2017,4.718842768006539e-05,-9.96136187170318,-10.621450756720689
2017-02-06,3.208237378711474e-05,Fold1_2017,3.202331987110345e-06,-12.651631267593022,-10.347203781845828
2017-02-07,3.071775629609846e-05,Fold1_2017,1.9430470030676598e-09,-20.05900847586704,-10.39066968958853
2017-02-08,2.6247147134918454e-05,Fold1_2017,1.7139060309155893e-06,-13.276735563728247,-10.547953255407338
2017-02-09,2.24198610424391e-05,Fold1_2017,3.499296577784209e-05,-10.26036349444954,-10.705563338268142
2017-02-10,2.8097162757431626e-05,Fold1_2017,1.550780921538184e-05,-11.074166840566717,-10.479841956208755
2017-02-13,2.8525567289564325e-05,Fold1_2017,2.9462401386696795e-05,-10.432395636786225,-10.464709774962026
2017-02-14,3.199108391170544e-05,Fold1_2017,1.590072461255932e-05,-11.049145876659573,-10.350053321747678
2017-02-15,3.155971806514218e-05,Fold1_2017,2.7108557367178228e-05,-10.515661109916898,-10.363628995323646
2017-02-16,3.3834587715530805e-05,Fold1_2017,7.253562288596741e-07,-14.136602952613421,-10.294026973501929
2017-02-17,3.014616339194502e-05,Fold1_2017,2.480830949212442e-06,-12.906916993741198,-10.409452893569892
2017-02-21,2.558122208575704e-05,Fold1_2017,3.525616367421923e-05,-10.252870187985307,-10.573651987905627
2017-02-22,3.059180506549702e-05,Fold1_2017,7.897092734101099e-07,-14.051600967558665,-10.394778393190082
2017-02-23,2.7805647067915866e-05,Fold1_2017,4.583198870940884e-07,-14.595698453193457,-10.490271425956761
2017-02-24,2.302025368116599e-05,Fold1_2017,1.6081022735322827e-06,-13.34045578628712,-10.679136134697982
2017-02-27,1.975509951921706e-05,Fold1_2017,2.4384756974621114e-06,-12.92413742802923,-10.83209889644127
2017-02-28,1.7676662092893326e-05,Fold1_2017,7.304095046516525e-06,-11.827075401815895,-10.943265314229748
2017-03-01,2.0882164243991824e-05,Fold1_2017,0.00019322324417475037,-8.55166433195919,-10.776615148789109
2017-03-02,5.140519371860586e-05,Fold1_2017,3.991118233242772e-05,-10.128854014375573,-9.875771345498805
2017-03-03,5.667309549625774e-05,Fold1_2017,3.957537058166688e-07,-14.742473774194593,-9.778210966083119
2017-03-06,4.303467168813167e-05,Fold1_2017,8.892126275822007e-06,-11.630344360903553,-10.053504448842055
2017-03-07,4.15599067692741e-05,Fold1_2017,8.948073119577145e-06,-11.624072342758565,-10.088374635015983
2017-03-08,4.047134002005568e-05,Fold1_2017,3.45334356724418e-06,-12.57616764631774,-10.114916488182722
2017-03-09,3.71412312253242e-05,Fold1_2017,1.6060937039438483e-06,-13.341705597974995,-10.20078285166501
2017-03-10,3.0146034653491715e-05,Fold1_2017,1.2236653614225253e-05,-11.311074715790628,-10.409457164054547
2017-03-13,2.9173700329957763e-05,Fold1_2017,2.54686651274978e-07,-15.183231865934046,-10.442242928171828
2017-03-14,2.43922658853872e-05,Fold1_2017,1.4698929370731649e-05,-11.127735898754974,-10.621244447821693
2017-03-15,2.8818445366026547e-05,Fold1_2017,7.424151177221423e-05,-9.508187106382582,-10.45449491173383
2017-03-16,3.998897409492863e-05,Fold1_2017,3.87653492119354e-06,-12.460568864894196,-10.126906789474912
2017-03-17,3.6988402396773914e-05,Fold1_2017,3.0894528289850157e-06,-12.687516560733156,-10.204906143191213
2017-03-20,3.432235542519485e-05,Fold1_2017,1.2047792832644412e-06,-13.629214175214257,-10.279713654429285
2017-03-21,3.101495090492642e-05,Fold1_2017,0.00016699141671504302,-8.697568143784295,-10.381041182486555
2017-03-22,6.211967223596896e-05,Fold1_2017,5.5243586718003814e-06,-12.106343394800165,-9.686447836002134
2017-03-23,4.9493651981989734e-05,Fold1_2017,1.139889896409578e-06,-13.684578882319082,-9.913666139401526
2017-03-24,4.193939232884629e-05,Fold1_2017,5.283860882094081e-07,-14.453438592787512,-10.079285021654927
2017-03-27,3.590060490506608e-05,Fold1_2017,1.053681332294263e-06,-13.763220494836233,-10.234756412888707
2017-03-28,3.207699790296251e-05,Fold1_2017,5.256894740677336e-05,-9.853384966031237,-10.347371360923464
2017-03-29,3.903495851910341e-05,Fold1_2017,8.72893823492355e-07,-13.951451911078056,-10.151052941051649
2017-03-30,3.0993168195876544e-05,Fold1_2017,1.0107473522229572e-05,-11.502235455051085,-10.381743758544715
2017-03-31,2.9235752529858727e-05,Fold1_2017,5.43101149288864e-06,-12.123385162749445,-10.44011819595102
2017-04-03,2.9577784741951706e-05,Fold1_2017,3.0296435528642127e-06,-12.707065584681786,-10.428486993886597
2017-04-04,2.8677259050679775e-05,Fold1_2017,4.058043311764738e-07,-14.717394736431581,-10.459406116859943
2017-04-05,2.3821465953369816e-05,Fold1_2017,8.862967132182025e-06,-11.633628958645215,-10.644923452968182
2017-04-06,2.6431214885064825e-05,Fold1_2017,7.879976477246145e-06,-11.75118563921999,-10.540964864265069
2017-04-07,2.5035081575241814e-05,Fold1_2017,1.0400370828298937e-06,-13.776254188879468,-10.595232453739829
2017-04-10,2.377666134228364e-05,Fold1_2017,3.541853816852511e-07,-14.853445383806644,-10.646806074275577
2017-04-11,2.019694702222201e-05,Fold1_2017,1.4177635740397942e-06,-13.466429875744524,-10.809979102493301
2017-04-12,2.0183448284001547e-05,Fold1_2017,1.928284578216344e-05,-10.85629467686479,-10.810647681323248
2017-04-13,2.6170461398654816e-05,Fold1_2017,4.2458685671699756e-05,-10.066979056673688,-10.550879210753994
2017-04-17,3.636389587737764e-05,Fold1_2017,7.780933848235305e-05,-9.46124910207633,-10.221934147052243
2017-04-18,4.6856681126155145e-05,Fold1_2017,8.934213814971245e-06,-11.625622402595049,-9.968416952698977
2017-04-19,4.412318793800107e-05,Fold1_2017,3.3861347354527755e-06,-12.595821483121567,-10.02852511011495
2017-04-20,3.956842575350502e-05,Fold1_2017,6.570976701392777e-05,-9.630262982732253,-10.13747908719698
2017-04-21,4.730426763435086e-05,Fold1_2017,1.0187935631684489e-05,-11.494306318919193,-9.958910041708688
2017-04-24,4.497685693354366e-05,Fold1_2017,0.00011963222858178736,-9.031088283000807,-10.0093624908523
2017-04-25,6.0112444275499646e-05,Fold1_2017,3.366151625667148e-05,-10.299155323969241,-9.719293678364464
2017-04-26,5.665686898243888e-05,Fold1_2017,3.9551614426441867e-07,-14.74307423068706,-9.778497324841005
2017-04-27,4.585093686803516e-05,Fold1_2017,7.031161458084195e-07,-14.167743744260939,-9.990114926143727
2017-04-28,3.548691775531545e-05,Fold1_2017,4.759129165372561e-06,-12.255445854909198,-10.246346443335627
2017-05-01,3.3943582094251676e-05,Fold1_2017,6.332938219175812e-06,-11.969746255857983,-10.290810761763547
2017-05-02,3.0140037194752005e-05,Fold1_2017,1.422656668209068e-07,-15.765569634180878,-10.409656130700595
2017-05-03,2.5199394660329767e-05,Fold1_2017,1.4770675289744788e-06,-13.425451835098308,-10.5886905851509
2017-05-04,2.4166628603358736e-05,Fold1_2017,1.3767225669736737e-06,-13.495804834933942,-10.630537859806427
2017-05-05,2.0559039215173657e-05,Fold1_2017,1.543925849876225e-05,-11.07859703921243,-10.792209849248717
2017-05-08,2.227875982810505e-05,Fold1_2017,2.7750471202257907e-08,-17.400013016636585,-10.711876807465877
