date,forecast_var,fold,actual_var,target,log_forecast
2017-01-03,3.553357431938282e-05,Fold1_2017,5.80823031976556e-05,-9.753649532626978,-10.245032552952264
2017-01-04,4.078336215083444e-05,Fold1_2017,3.518221746471543e-05,-10.254969788670985,-10.107236350144007
2017-01-05,4.026104631049958e-05,Fold1_2017,6.316253853864819e-07,-14.274969363183752,-10.12012614925527
2017-01-06,3.5058586874958375e-05,Fold1_2017,1.2754658043141065e-05,-11.269614016362102,-10.258489985188842
2017-01-09,3.2267453585571495e-05,Fold1_2017,1.0931632734675871e-05,-11.423849885900418,-10.341451464664647
2017-01-10,3.239835417829921e-05,Fold1_2017,0.0,,-10.337402933422274
2017-01-11,2.8941463071390955e-05,Fold1_2017,7.964006148940285e-06,-11.740578399670673,-10.45023528270395
2017-01-12,2.7073657397549568e-05,Fold1_2017,6.314686544569022e-06,-11.972632440041577,-10.516949354578243
2017-01-13,2.732633256614361e-05,Fold1_2017,5.25693212913637e-06,-12.155962946779761,-10.507659757802793
2017-01-17,2.547386891888176e-05,Fold1_2017,1.2460251208232585e-05,-11.292966883633836,-10.577857379492533
2017-01-18,2.7827528481050178e-05,Fold1_2017,4.874374040602926e-06,-12.231518863686302,-10.489484794093787
2017-01-19,2.575375158005242e-05,Fold1_2017,1.3776040375585367e-05,-11.192579679418984,-10.56693024903742
2017-01-20,2.832481252446925e-05,Fold1_2017,1.3450503713838887e-05,-11.21649400177465,-10.471772369802231
2017-01-23,2.741136282240639e-05,Fold1_2017,6.79033775033717e-06,-11.90000987531308,-10.504552928987492
2017-01-24,2.757473171153731e-05,Fold1_2017,4.084788656595068e-05,-10.105655474448275,-10.498610722281384
2017-01-25,3.174096830802182e-05,Fold1_2017,7.427556952725e-05,-9.507728468826084,-10.357902335832243
2017-01-26,4.101095271221107e-05,Fold1_2017,1.0939441297024488e-06,-13.725720925010409,-10.1016713876131
2017-01-27,3.561277613989929e-05,Fold1_2017,2.4679447436943564e-06,-12.912124841274546,-10.242806104154184
2017-01-30,3.223477223138647e-05,Fold1_2017,3.869966389662089e-05,-10.159679642808088,-10.342464805105777
2017-01-31,3.910809353521949e-05,Fold1_2017,7.75793504335468e-09,-18.674549640823358,-10.149181116607961
2017-02-01,3.369296040674549e-05,Fold1_2017,1.5643497515992263e-07,-15.670625407493628,-10.298221632434068
2017-02-02,2.9646497834332257e-05,Fold1_2017,4.339473472678826e-07,-14.650342629865088,-10.426166556382816
2017-02-03,2.6651468843632936e-05,Fold1_2017,4.718842768006539e-05,-9.96136187170318,-10.532666292787468
