date,forecast_var,fold,actual_var,target,log_forecast
2017-01-03,3.6869259669515e-05,Fold1_2017,5.80823031976556e-05,-9.753649532626978,-10.208132425401374
2017-01-04,4.2379521337672545e-05,Fold1_2017,3.518221746471543e-05,-10.254969788670985,-10.068845299721351
2017-01-05,4.20020054047727e-05,Fold1_2017,6.316253853864819e-07,-14.274969363183752,-10.077793193088109
2017-01-06,3.675156918073165e-05,Fold1_2017,1.2754658043141065e-05,-11.269614016362102,-10.211329634421578
2017-01-09,3.430211397426811e-05,Fold1_2017,1.0931632734675871e-05,-11.423849885900418,-10.280303573788688
2017-01-10,3.4224248266914876e-05,Fold1_2017,0.0,,-10.282576151474668
2017-01-11,3.10045202335745e-05,Fold1_2017,7.964006148940285e-06,-11.740578399670673,-10.38137755012268
2017-01-12,2.954494041126005e-05,Fold1_2017,6.314686544569022e-06,-11.972632440041577,-10.429598050049359
2017-01-13,2.9724825046253083e-05,Fold1_2017,5.25693212913637e-06,-12.155962946779761,-10.423528001148968
2017-01-17,2.8219365848473154e-05,Fold1_2017,1.2460251208232585e-05,-11.292966883633836,-10.475502083497515
2017-01-18,3.03010513352055e-05,Fold1_2017,4.874374040602926e-06,-12.231518863686302,-10.404328148519362
2017-01-19,2.8524371701191985e-05,Fold1_2017,1.3776040375585367e-05,-11.192579679418984,-10.464751688709654
2017-01-20,3.077761447507257e-05,Fold1_2017,1.3450503713838887e-05,-11.21649400177465,-10.3887229349913
2017-01-23,3.014511046513439e-05,Fold1_2017,6.79033775033717e-06,-11.90000987531308,-10.409487821570028
2017-01-24,3.0122324793760406e-05,Fold1_2017,4.084788656595068e-05,-10.105655474448275,-10.410243973623347
2017-01-25,3.4443300623099163e-05,Fold1_2017,7.427556952725e-05,-9.507728468826084,-10.276196046089165
2017-01-26,4.352204131000806e-05,Fold1_2017,1.0939441297024488e-06,-13.725720925010409,-10.042243051415308
2017-01-27,3.77514174798286e-05,Fold1_2017,2.4679447436943564e-06,-12.912124841274546,-10.18448753383966
2017-01-30,3.4221825310806915e-05,Fold1_2017,3.869966389662089e-05,-10.159679642808088,-10.282646950455014
2017-01-31,4.0388892179653805e-05,Fold1_2017,7.75793504335468e-09,-18.674549640823358,-10.116955756849936
2017-02-01,3.51134706038232e-05,Fold1_2017,1.5643497515992263e-07,-15.670625407493628,-10.25692572322965
2017-02-02,3.1354521614648235e-05,Fold1_2017,4.339473472678826e-07,-14.650342629865088,-10.37015207115319
2017-02-03,2.8703439038692923e-05,Fold1_2017,4.718842768006539e-05,-9.96136187170318,-10.458493615245239
2017-02-06,3.451531077540355e-05,Fold1_2017,3.202331987110345e-06,-12.651631267593022,-10.274107541781472
2017-02-07,3.213757646945017e-05,Fold1_2017,1.9430470030676598e-09,-20.05900847586704,-10.345484605928961
2017-02-08,2.930303416777782e-05,Fold1_2017,1.7139060309155893e-06,-13.276735563728247,-10.437819492088463
2017-02-09,2.728668280545685e-05,Fold1_2017,3.499296577784209e-05,-10.26036349444954,-10.50911178411496
2017-02-10,3.127010760712079e-05,Fold1_2017,1.550780921538184e-05,-11.074166840566717,-10.372847945274964
2017-02-13,3.063310665660175e-05,Fold1_2017,2.9462401386696795e-05,-10.432395636786225,-10.393429216973798
2017-02-14,3.254786782923511e-05,Fold1_2017,1.590072461255932e-05,-11.049145876659573,-10.332798695933391
2017-02-15,3.15361666709271e-05,Fold1_2017,2.7108557367178228e-05,-10.515661109916898,-10.364375522467448
2017-02-16,3.271095744817065e-05,Fold1_2017,7.253562288596741e-07,-14.136602952613421,-10.32780044603311
2017-02-17,3.001435266689438e-05,Fold1_2017,2.480830949212442e-06,-12.906916993741198,-10.413834868479732
2017-02-21,2.7737870416124494e-05,Fold1_2017,3.525616367421923e-05,-10.252870187985307,-10.49271191545045
2017-02-22,3.144820900646727e-05,Fold1_2017,7.897092734101099e-07,-14.051600967558665,-10.36716852376952
2017-02-23,2.9118314903725683e-05,Fold1_2017,4.583198870940884e-07,-14.595698453193457,-10.444143203627279
2017-02-24,2.6924427721555417e-05,Fold1_2017,1.6081022735322827e-06,-13.34045578628712,-10.522476589686034
2017-02-27,2.540939294636451e-05,Fold1_2017,2.4384756974621114e-06,-12.92413742802923,-10.580391651261362
2017-02-28,2.438822591905864e-05,Fold1_2017,7.304095046516525e-06,-11.827075401815895,-10.62141008642796
2017-03-01,2.597682549212622e-05,Fold1_2017,0.00019322324417475037,-8.55166433195919,-10.55830574463702
2017-03-02,5.9905496570753826e-05,Fold1_2017,3.991118233242772e-05,-10.128854014375573,-9.722742294602806
2017-03-03,5.840496230856308e-05,Fold1_2017,3.957537058166688e-07,-14.742473774194593,-9.748109700702887
2017-03-06,4.726081688413818e-05,Fold1_2017,8.892126275822007e-06,-11.630344360903553,-9.959829001459884
2017-03-07,4.242497371993132e-05,Fold1_2017,8.948073119577145e-06,-11.624072342758565,-10.067773366291876
2017-03-08,3.907919082802629e-05,Fold1_2017,3.45334356724418e-06,-12.57616764631774,-10.149920436530506
2017-03-09,3.530471861547408e-05,Fold1_2017,1.6060937039438483e-06,-13.341705597974995,-10.251493931131844
2017-03-10,3.13522308667324e-05,Fold1_2017,1.2236653614225253e-05,-11.311074715790628,-10.370225133393737
2017-03-13,3.0032960550305e-05,Fold1_2017,2.54686651274978e-07,-15.183231865934046,-10.413215094404615
2017-03-14,2.7597629124658666e-05,Fold1_2017,1.4698929370731649e-05,-11.127735898754974,-10.497780690211378
2017-03-15,3.013715975016013e-05,Fold1_2017,7.424151177221423e-05,-9.508187106382582,-10.409751604436597
2017-03-16,4.009702520099809e-05,Fold1_2017,3.87653492119354e-06,-12.460568864894196,-10.124208410917321
2017-03-17,3.606360720141443e-05,Fold1_2017,3.0894528289850157e-06,-12.687516560733156,-10.230226311875008
2017-03-20,3.304592174169908e-05,Fold1_2017,1.2047792832644412e-06,-13.629214175214257,-10.317612395900868
2017-03-21,3.0355557627548696e-05,Fold1_2017,0.00016699141671504302,-8.697568143784295,-10.4025309393464
2017-03-22,6.503792082795498e-05,Fold1_2017,5.5243586718003814e-06,-12.106343394800165,-9.640540060825561
2017-03-23,5.2407401989408986e-05,Fold1_2017,1.139889896409578e-06,-13.684578882319082,-9.856462717273573
2017-03-24,4.3907750073771755e-05,Fold1_2017,5.283860882094081e-07,-14.453438592787512,-10.0334197141985
2017-03-27,3.7797795791489126e-05,Fold1_2017,1.053681332294263e-06,-13.763220494836233,-10.183259769433434
2017-03-28,3.371317257154066e-05,Fold1_2017,5.256894740677336e-05,-9.853384966031237,-10.297621919484877
2017-03-29,3.857966381252145e-05,Fold1_2017,8.72893823492355e-07,-13.951451911078056,-10.162785264559872
2017-03-30,3.3656762339233696e-05,Fold1_2017,1.0107473522229572e-05,-11.502235455051085,-10.29929656101644
2017-03-31,3.135553289224197e-05,Fold1_2017,5.43101149288864e-06,-12.123385162749445,-10.37011981866667
2017-04-03,3.043201159149969e-05,Fold1_2017,3.0296435528642127e-06,-12.707065584681786,-10.40001549070298
2017-04-04,2.9119042761090974e-05,Fold1_2017,4.058043311764738e-07,-14.717394736431581,-10.444118207391375
2017-04-05,2.6963039437199243e-05,Fold1_2017,8.862967132182025e-06,-11.633628958645215,-10.521043539506188
2017-04-06,2.8164598522693057e-05,Fold1_2017,7.879976477246145e-06,-11.75118563921999,-10.477444740194851
2017-04-07,2.710657221313461e-05,Fold1_2017,1.0400370828298937e-06,-13.776254188879468,-10.515734342391296
2017-04-10,2.6094201970217373e-05,Fold1_2017,3.541853816852511e-07,-14.853445383806644,-10.553797415048834
2017-04-11,2.4744290388236242e-05,Fold1_2017,1.4177635740397942e-06,-13.466429875744524,-10.606915786947319
2017-04-12,2.4498532167046634e-05,Fold1_2017,1.928284578216344e-05,-10.85629467686479,-10.616897353757478
2017-04-13,2.881727573780758e-05,Fold1_2017,4.2458685671699756e-05,-10.066979056673688,-10.454535498654467
2017-04-17,3.702968705957176e-05,Fold1_2017,7.780933848235305e-05,-9.46124910207633,-10.203790614071714
2017-04-18,4.548584709935514e-05,Fold1_2017,8.934213814971245e-06,-11.625622402595049,-9.998109333155739
2017-04-19,4.0965013021314365e-05,Fold1_2017,3.3861347354527755e-06,-12.595821483121567,-10.102792196506165
2017-04-20,3.641511860342799e-05,Fold1_2017,6.570976701392777e-05,-9.630262982732253,-10.220526523305933
2017-04-21,4.274755653858545e-05,Fold1_2017,1.0187935631684489e-05,-11.494306318919193,-10.060198521207182
2017-04-24,3.94004910441401e-05,Fold1_2017,0.00011963222858178736,-9.031088283000807,-10.141732278688808
2017-04-25,5.4656490389575254e-05,Fold1_2017,3.366151625667148e-05,-10.299155323969241,-9.814442587546718
2017-04-26,4.9725426406803464e-05,Fold1_2017,3.9551614426441867e-07,-14.74307423068706,-9.908994157960786
2017-04-27,4.162857951725231e-05,Fold1_2017,7.031161458084195e-07,-14.167743744260939,-10.08672361895251
2017-04-28,3.561982743814796e-05,Fold1_2017,4.759129165372561e-06,-12.255445854909198,-10.242608124635886
2017-05-01,3.3084036030021574e-05,Fold1_2017,6.332938219175812e-06,-11.969746255857983,-10.316459687088491
2017-05-02,3.0234816365565753e-05,Fold1_2017,1.422656668209068e-07,-15.765569634180878,-10.40651643782904
