date,forecast_var,fold,actual_var,target,log_forecast
2017-01-03,4.4467587212476045e-05,Fold1_2017,5.80823031976556e-05,-9.753649532626978,-10.020750011435396
2017-01-04,3.943183418645223e-05,Fold1_2017,3.518221746471543e-05,-10.254969788670985,-10.14093709362045
2017-01-05,3.561926295327527e-05,Fold1_2017,6.316253853864819e-07,-14.274969363183752,-10.24262397225184
2017-01-06,3.3139327188601376e-05,Fold1_2017,1.2754658043141065e-05,-11.269614016362102,-10.314789848266052
2017-01-09,3.0840804881168255e-05,Fold1_2017,1.0931632734675871e-05,-11.423849885900418,-10.386671910998546
2017-01-10,3.332447404952209e-05,Fold1_2017,0.0,,-10.309218474483998
2017-01-11,3.0985706936984316e-05,Fold1_2017,7.964006148940285e-06,-11.740578399670673,-10.381984526351886
2017-01-12,2.917282164277259e-05,Fold1_2017,6.314686544569022e-06,-11.972632440041577,-10.442273047779835
2017-01-13,3.0396509997919098e-05,Fold1_2017,5.25693212913637e-06,-12.155962946779761,-10.401182758842463
2017-01-17,2.8692692453944247e-05,Fold1_2017,1.2460251208232585e-05,-11.292966883633836,-10.458868085948918
2017-01-18,3.2169925235533734e-05,Fold1_2017,4.874374040602926e-06,-12.231518863686302,-10.344478540759132
2017-01-19,3.0004133432998252e-05,Fold1_2017,1.3776040375585367e-05,-11.192579679418984,-10.414175404693122
2017-01-20,3.357738896584026e-05,Fold1_2017,1.3450503713838887e-05,-11.21649400177465,-10.301657664971113
2017-01-23,3.106260724796392e-05,Fold1_2017,6.79033775033717e-06,-11.90000987531308,-10.379505801462637
2017-01-24,3.19051433440704e-05,Fold1_2017,4.084788656595068e-05,-10.105655474448275,-10.352743327813737
2017-01-25,2.9840787597686134e-05,Fold1_2017,7.427556952725e-05,-9.507728468826084,-10.419634388952696
2017-01-26,2.836375370771283e-05,Fold1_2017,1.0939441297024488e-06,-13.725720925010409,-10.470398505830818
2017-01-27,2.7740150137688586e-05,Fold1_2017,2.4679447436943564e-06,-12.912124841274546,-10.492629730774695
2017-01-30,2.780444110025764e-05,Fold1_2017,3.869966389662089e-05,-10.159679642808088,-10.490314798218815
2017-01-31,4.03052876121146e-05,Fold1_2017,7.75793504335468e-09,-18.674549640823358,-10.11902789136248
2017-02-01,3.613477934403271e-05,Fold1_2017,1.5643497515992263e-07,-15.670625407493628,-10.228254739681274
2017-02-02,3.294437513962065e-05,Fold1_2017,4.339473472678826e-07,-14.650342629865088,-10.320690020552664
2017-02-03,3.053113746842764e-05,Fold1_2017,4.718842768006539e-05,-9.96136187170318,-10.396763494511342
2017-02-06,2.8778581010802852e-05,Fold1_2017,3.202331987110345e-06,-12.651631267593022,-10.455879162418176
2017-02-07,2.8830452641256366e-05,Fold1_2017,1.9430470030676598e-09,-20.05900847586704,-10.45407834608146
2017-02-08,2.7419791038799056e-05,Fold1_2017,1.7139060309155893e-06,-13.276735563728247,-10.50424550461775
